"","Description","pvalue","p.adjust"
"GO:0031055","chromatin remodeling at centromere",1.91496813024687e-10,5.96895566197949e-07
"GO:0034080","CENP-A containing chromatin assembly",1.91496813024687e-10,5.96895566197949e-07
"GO:0007094","mitotic spindle assembly checkpoint signaling",6.08629605193453e-08,7.58839391755197e-05
"GO:0071173","spindle assembly checkpoint signaling",6.08629605193453e-08,7.58839391755197e-05
"GO:0071174","mitotic spindle checkpoint signaling",6.08629605193453e-08,7.58839391755197e-05
"GO:0006268","DNA unwinding involved in DNA replication",5.72206897414577e-07,0.000557318957192012
"GO:0042063","gliogenesis",7.19457154533568e-07,0.000557318957192012
"GO:0001503","ossification",8.04599071980767e-07,0.000557318957192012
"GO:0002009","morphogenesis of an epithelium",6.59857880528547e-07,0.000557318957192012
"GO:0048568","embryonic organ development",8.98423051178885e-07,0.000560076930104917
"GO:0043062","extracellular structure organization",1.24067053193001e-06,0.000703121826913789
"GO:0045229","external encapsulating structure organization",1.77132558138828e-06,0.000920203639531212
"GO:0033260","nuclear DNA replication",4.22977533266336e-06,0.00189309466248782
"GO:0030198","extracellular matrix organization",4.251415668083e-06,0.00189309466248782
"GO:0006270","DNA replication initiation",5.61021612037026e-06,0.00205729925261107
"GO:0010001","glial cell differentiation",5.42658065175288e-06,0.00205729925261107
"GO:0050673","epithelial cell proliferation",5.35745317662148e-06,0.00205729925261107
"GO:0150063","visual system development",6.60174924579537e-06,0.00228640582212713
"GO:0051960","regulation of nervous system development",8.26694543544129e-06,0.00271242830760742
"GO:0048732","gland development",9.37844289951735e-06,0.00292326065177956
"GO:0001654","eye development",1.00731301065996e-05,0.00299028062307342
"GO:0048880","sensory system development",1.09067557495137e-05,0.00309057797011221
"GO:0060623","regulation of chromosome condensation",1.36140489656806e-05,0.00359090122397734
"GO:0016055","Wnt signaling pathway",1.38244512953892e-05,0.00359090122397734
"GO:0198738","cell-cell signaling by wnt",2.75061885249455e-05,0.0068589431705804
"GO:0050678","regulation of epithelial cell proliferation",3.95689387760142e-05,0.00948741401267972
"GO:1902969","mitotic DNA replication",4.34251743239907e-05,0.00985512288273839
"GO:0003081","regulation of systemic arterial blood pressure by renin-angiotensin",4.58451337182248e-05,0.00985512288273839
"GO:0016049","cell growth",4.46202127682067e-05,0.00985512288273839
"GO:0043010","camera-type eye development",4.79877331544162e-05,0.00997185094948769
"GO:0072001","renal system development",5.1355256247532e-05,0.0103273763692618
"GO:0090232","positive regulation of spindle checkpoint",6.05476868051591e-05,0.011438008471011
"GO:0034329","cell junction assembly",6.03519176872152e-05,0.011438008471011
"GO:0010975","regulation of neuron projection development",7.50164844571846e-05,0.0137544930619438
"GO:0006953","acute-phase response",9.84627365417608e-05,0.0174093160877915
"GO:0007272","ensheathment of neurons",0.000108857968958639,0.0174093160877915
"GO:0008366","axon ensheathment",0.000108857968958639,0.0174093160877915
"GO:0048863","stem cell differentiation",0.000113370176802477,0.0174093160877915
"GO:0061458","reproductive system development",0.000102089660405691,0.0174093160877915
"GO:0050767","regulation of neurogenesis",0.000114498229002158,0.0174093160877915
"GO:0060537","muscle tissue development",0.000112242124695406,0.0174093160877915
"GO:0060562","epithelial tube morphogenesis",0.000125834333614197,0.0186774103750216
"GO:0001667","ameboidal-type cell migration",0.000132636010205156,0.0192291369213707
"GO:0001822","kidney development",0.000146239387740484,0.0207194623448677
"GO:0060070","canonical Wnt signaling pathway",0.000150773852941339,0.0208872044274735
"GO:0006271","DNA strand elongation involved in DNA replication",0.00017560271411393,0.0212012377424969
"GO:0090267","positive regulation of mitotic cell cycle spindle assembly checkpoint",0.000167926900291104,0.0212012377424969
"GO:1904338","regulation of dopaminergic neuron differentiation",0.000171362816095766,0.0212012377424969
"GO:0048565","digestive tract development",0.000180247930759117,0.0212012377424969
"GO:0048562","embryonic organ morphogenesis",0.000175713452177056,0.0212012377424969
"GO:0051962","positive regulation of nervous system development",0.000177980691272794,0.0212012377424969
"GO:0048608","reproductive structure development",0.000159842790839238,0.0212012377424969
"GO:0043086","negative regulation of catalytic activity",0.000157575555495143,0.0212012377424969
"GO:0060541","respiratory system development",0.00019385137511194,0.0223790643045895
"GO:0045137","development of primary sexual characteristics",0.000207454830399589,0.0235140620492915
"GO:0034501","protein localization to kinetochore",0.000228163353353282,0.0239102238633634
"GO:1903083","protein localization to condensed chromosome",0.000228163353353282,0.0239102238633634
"GO:0000727","double-strand break repair via break-induced replication",0.00022850384826285,0.0239102238633634
"GO:0061351","neural precursor cell proliferation",0.000225592784374047,0.0239102238633634
"GO:0040013","negative regulation of locomotion",0.000230127274912064,0.0239102238633634
"GO:0030324","lung development",0.0002346841032123,0.0239839458922209
"GO:0050808","synapse organization",0.000243797767997561,0.0245134723499484
"GO:0042552","myelination",0.000248354604182293,0.0245752794043241
"GO:0050769","positive regulation of neurogenesis",0.000257468283464926,0.0250790199862554
"GO:2000146","negative regulation of cell motility",0.000262025126322415,0.0251302251922144
"GO:0010720","positive regulation of cell development",0.00026658197117744,0.0251798789139418
"GO:0030111","regulation of Wnt signaling pathway",0.000284809368655593,0.0265000239432682
"GO:0021782","glial cell development",0.000298479933409678,0.0273635868364108
"GO:0060485","mesenchyme development",0.000307593650115447,0.0277904176060825
"GO:0048709","oligodendrocyte differentiation",0.000334934828273008,0.0286025167048484
"GO:0055123","digestive system development",0.000334934828273008,0.0286025167048484
"GO:0061138","morphogenesis of a branching epithelium",0.000330377962607867,0.0286025167048484
"GO:0090287","regulation of cellular response to growth factor stimulus",0.000325821097939234,0.0286025167048484
"GO:0001832","blastocyst growth",0.000350558974148032,0.0295322249302545
"GO:0043501","skeletal muscle adaptation",0.000356965532131751,0.0296709750307912
"GO:0008406","gonad development",0.000371389785067097,0.0304637357908984
"GO:0010165","response to X-ray",0.000390376146039196,0.0306597174400555
"GO:0014743","regulation of muscle hypertrophy",0.000395755597828627,0.0306597174400555
"GO:0045664","regulation of neuron differentiation",0.000385060406241645,0.0306597174400555
"GO:0001649","osteoblast differentiation",0.000403287909862777,0.0306597174400555
"GO:0018108","peptidyl-tyrosine phosphorylation",0.00038961728125617,0.0306597174400555
"GO:0001558","regulation of cell growth",0.000403287909862777,0.0306597174400555
"GO:0071481","cellular response to X-ray",0.000437881242464268,0.0328885742834006
"GO:0048762","mesenchymal cell differentiation",0.000444299823474529,0.0329733940421454
"GO:0043524","negative regulation of neuron apoptotic process",0.000457970469226499,0.033197533780907
"GO:0030323","respiratory tube development",0.000453413586919724,0.033197533780907
"GO:0001763","morphogenesis of a branching structure",0.000490003351736254,0.0351112746519978
"GO:0007409","axonogenesis",0.000499162028709268,0.035361091897427
"GO:0051984","positive regulation of chromosome segregation",0.000525959594557586,0.0368408102524943
"GO:0045165","cell fate commitment",0.000544955479545218,0.0373324446097241
"GO:0099177","regulation of trans-synaptic signaling",0.000544955479545218,0.0373324446097241
"GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal",0.00057820789790129,0.0385705741840757
"GO:0060828","regulation of canonical Wnt signaling pathway",0.000581590306914198,0.0385705741840757
"GO:0042692","muscle cell differentiation",0.000581590306914198,0.0385705741840757
"GO:0050804","modulation of chemical synaptic transmission",0.000599907739098822,0.0393665773214954
"GO:1901862","negative regulation of muscle tissue development",0.000677773867762891,0.0426809912441384
"GO:0042976","activation of Janus kinase activity",0.000688121360935353,0.0426809912441384
"GO:2000177","regulation of neural precursor cell proliferation",0.000682336305829538,0.0426809912441384
"GO:0060560","developmental growth involved in morphogenesis",0.000664018831457345,0.0426809912441384
"GO:0051402","neuron apoptotic process",0.000691495045822582,0.0426809912441384
